,country,iso_code,vaccines,source_name,source_website
0,Algeria,DZA,Sputnik V,Ministry of Health,https://www.aps.dz/regions/116777-blida-covid-19-trente-vaccines-au-matin-du-1er-jour-de-la-campagne
1,Argentina,ARG,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
2,Austria,AUT,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
3,Bahrain,BHR,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1355621933505802245
4,Belgium,BEL,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
5,Bermuda,BMU,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
6,Brazil,BRA,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
7,Bulgaria,BGR,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
8,Canada,CAN,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
9,Chile,CHL,Pfizer/BioNTech,Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
10,China,CHN,"CNBG, Sinovac",National Health Commission,http://www.gov.cn/xinwen/gwylflkjz147/index.htm
11,Costa Rica,CRI,Pfizer/BioNTech,National Health Commission,https://www.ccss.sa.cr/noticias/servicios_noticia?ccss-ha-colocado-48-128-vacunas-contra-la-covid-19
12,Croatia,HRV,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/bozinovic-od-ponoci-nove-mjere-u-skolama-i-sportu/31402
13,Cyprus,CYP,Pfizer/BioNTech,Ministry of Health,https://cyprus-mail.com/2021/01/30/coronavirus-more-vaccination-slots-to-open-on-monday/
14,Czechia,CZE,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
15,Denmark,DNK,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-31012021-sol1
16,Ecuador,ECU,Pfizer/BioNTech,Government of Ecuador,https://twitter.com/salud_ec/status/1354577588866457600?s=21
17,England,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
18,Estonia,EST,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-31-jaanuar-oopaevaga-lisandus-468-positiivset-testi
19,Finland,FIN,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
20,France,FRA,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
21,Germany,DEU,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
22,Gibraltar,GIB,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1355907465544691714
23,Greece,GRC,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
24,Hungary,HUN,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1307-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-61-beteg
25,Iceland,ISL,"Moderna, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
26,India,IND,"Covaxin, Oxford/AstraZeneca",Ministry of Health,https://www.mohfw.gov.in/
27,Indonesia,IDN,Sinovac,Ministry of Health,https://www.kemkes.go.id/
28,Ireland,IRL,Pfizer/BioNTech,Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
29,Isle of Man,IMN,Pfizer/BioNTech,Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
30,Israel,ISR,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
31,Italy,ITA,Pfizer/BioNTech,Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
32,Kuwait,KWT,Pfizer/BioNTech,Ministry of Health,https://alqabas.com/article/5828928-2500-شخص-حصلوا-على-لقاح-كورونا-في-يومين?id=5828928
33,Latvia,LVA,Pfizer/BioNTech,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
34,Lithuania,LTU,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
35,Luxembourg,LUX,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/a562f2c6-d8db-4843-8444-0199792bfaac
36,Malta,MLT,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
37,Mexico,MEX,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/041-mas-de-95-de-aplicacion-de-vacunas-contra-covid-19-en-29-entidades-federativas?idiom=es
38,Morocco,MAR,"Oxford/AstraZeneca, Sinopharm",Ministry of Health,https://2m.ma/fr/news/marocvaccination-anti-covid-19-90000-personnes-vaccinees-en-3-jours-20210131/
39,Myanmar,MMR,Oxford/AstraZeneca,Ministry of Health,https://www.mohs.gov.mm/page/13899
40,Netherlands,NLD,"Moderna, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
41,Northern Cyprus,,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://cyprus-mail.com/2021/01/22/coronavirus-11000-vaccines-administered-in-the-north/
42,Northern Ireland,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
43,Norway,NOR,Pfizer/BioNTech,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
44,Oman,OMN,Pfizer/BioNTech,Ministry of Health,https://twitter.com/OmaniMOH/status/1354699593666195458
45,Panama,PAN,Pfizer/BioNTech,Ministry of Health,https://twitter.com/MINSAPma/status/1353489103589945351/photo/1
46,Poland,POL,Pfizer/BioNTech,Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
47,Portugal,PRT,Pfizer/BioNTech,National Health Service,https://www.sns.gov.pt/monitorizacao-do-sns/vacinas-covid-19/
48,Romania,ROU,Pfizer/BioNTech,Government of Romania,https://vaccinare-covid.gov.ro/7411-2/
49,Russia,RUS,Sputnik V,Russian Direct Investment Fund,https://twitter.com/redouad/status/1350030539944820736
50,Saudi Arabia,SAU,Pfizer/BioNTech,Saudi Health Council,https://coronamap.sa
51,Scotland,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
52,Serbia,SRB,"Pfizer/BioNTech, Sinopharm, Sputnik V",Government of Serbia,https://www.srbija.gov.rs/vest/en/166989/serbia-second-in-europe-by-number-of-covid-immunisations-per-million-people.php
53,Seychelles,SYC,"Oxford/AstraZeneca, Sinopharm",Extended Programme for Immunisation,https://www.facebook.com/mohseychellesofficial/photos/1644390705762054
54,Singapore,SGP,Pfizer/BioNTech,Ministry of Health,https://www.moh.gov.sg/news-highlights/details/update-on-covid-19-vaccination-programme
55,Slovakia,SVK,Pfizer/BioNTech,Ministry of Health,https://covid-19.nczisk.sk
56,Slovenia,SVN,Pfizer/BioNTech,"National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
57,Spain,ESP,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210129.ods
58,Sri Lanka,LKA,Oxford/AstraZeneca,Ministry of Health,https://www.newsfirst.lk/2021/01/30/32539-people-received-the-astrazeneca-covishield-vaccine-on-saturday-30/
59,Sweden,SWE,Pfizer/BioNTech,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
60,Switzerland,CHE,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.bag.admin.ch/dam/bag/fr/dokumente/mt/k-und-i/aktuelle-ausbrueche-pandemien/2019-nCoV/zahlen-covid-19-impfung.pdf.download.pdf/zahlen-covid-19-impfung.pdf
61,Turkey,TUR,Sinovac,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
62,United Arab Emirates,ARE,"Pfizer/BioNTech, Sinopharm",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
63,United Kingdom,GBR,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
64,United States,USA,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
65,Wales,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
